%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1592384435856029692,72,1592384435644126805,map,1.50836672906,2.38990430523,0.0,0.0,0.0,0.00395759274569,0.999992168699,0.245948160761,0.00431947896034,0.0,0.0,0.0,0.0,0.00431947896034,0.250274075409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681009556944
1592384436659914290,73,1592384436546338805,map,1.3625666267,2.41151128553,0.0,0.0,0.0,0.999458202399,0.0329135482424,0.249904159374,0.00824093068259,0.0,0.0,0.0,0.0,0.00824093068259,0.247027885393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677919978043
1592384448664032688,74,1592384448524942805,map,1.02875739927,2.32004625928,0.0,0.0,0.0,-0.98242087924,0.186679447273,0.250637868256,0.00734597772072,0.0,0.0,0.0,0.0,0.00734597772072,0.246226277582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687796380101
1592384449263567161,75,1592384449176470805,map,0.0380876798594,1.97104200075,0.0,0.0,0.0,0.0015887637634,0.999998737914,0.251202014408,0.00302886554808,0.0,0.0,0.0,0.0,0.00302886554808,0.24979903796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696251493113
1592384449769205579,76,1592384449677676805,map,-0.194156695822,1.87078478565,0.0,0.0,0.0,-0.926895972633,0.375318339436,0.243560367456,-0.00384633186012,0.0,0.0,0.0,0.0,-0.00384633186012,0.253600486528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694020748758
1592384450366852856,77,1592384450279090805,map,-0.440885780702,1.6843754586,0.0,0.0,0.0,-0.794512032935,0.607248408414,0.243786685101,0.00273857661506,0.0,0.0,0.0,0.0,0.00273857661506,0.240974873188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696531775132
1592384451067291663,78,1592384450980803805,map,-0.636698277679,1.41417933894,0.0,0.0,0.0,-0.853687571282,0.520785493883,0.252834796325,-0.0014019754113,0.0,0.0,0.0,0.0,-0.0014019754113,0.242271764665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672276784225
1592384461771247001,79,1592384461656312805,map,-0.383044663112,0.913671875238,0.0,0.0,0.0,-0.527015375427,0.849855748973,0.25162719684,0.000338829616562,0.0,0.0,0.0,0.0,0.000338829616562,0.248049032141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695702047575
1592384462371491510,80,1592384462257775805,map,0.253019755647,-0.044239470247,0.0,0.0,0.0,-0.0102475407879,0.999947492575,0.248360343132,-0.00459442663117,0.0,0.0,0.0,0.0,-0.00459442663117,0.257487564617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679857974463
1592384462867946975,81,1592384462758960805,map,0.477212719322,-0.174571802306,0.0,0.0,0.0,-0.3822796111,0.924046697379,0.245845341696,0.00291415843436,0.0,0.0,0.0,0.0,0.00291415843436,0.254117835094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664977977669
